caption,filepath
"A pale Hymenaster starfish rests on a rocky seafloor, surrounded by dark silt and textured geological formations.",src/data/Fathomnet-by-Phylum-2/train/images/0c448dd3-51bb-478c-b1db-a8ac617cf7b5_png.rf.26aa4aa0f0ec9abeb69f49daa5cb5d38.jpg
"A pale Hymenaster starfish rests on a rocky seafloor, surrounded by dark silt and textured geological formations.",src/data/Fathomnet-by-Phylum-2/train/images/0c448dd3-51bb-478c-b1db-a8ac617cf7b5_png.rf.3f2d209558769c980e41b0e09eef3976.jpg
"Coryphaenoides sp. rests on a rocky seafloor, surrounded by dark silt and textured sediment, exhibiting a muted coloration.",src/data/Fathomnet-by-Phylum-2/train/images/0c64c3a1-9520-4ae8-9008-feea8a78d48a_png.rf.c1ef52da8694ea1cdef7f6c81b01a447.jpg
"Coryphaenoides sp. rests on a rocky seafloor, surrounded by dark silt and textured sediment, exhibiting a muted coloration.",src/data/Fathomnet-by-Phylum-2/train/images/0c64c3a1-9520-4ae8-9008-feea8a78d48a_png.rf.b00398869f857f1db1c581e163774fcb.jpg
"Coryphaenoides sp. rests on a rocky seafloor, surrounded by dark silt and textured sediment, exhibiting a muted coloration.",src/data/Fathomnet-by-Phylum-2/train/images/0c64c3a1-9520-4ae8-9008-feea8a78d48a_png.rf.b89816237deabde2e89ccea57d7bb2d0.jpg
"A brown Opisthoteuthis cf. californiana rests on a rocky seafloor, surrounded by patches of soft mud.",src/data/Fathomnet-by-Phylum-2/train/images/0d6d3ac3-ce5f-4cf1-a577-9b2ac77aa6dd_png.rf.9e48b6692eb5607cd61ae725263bb681.jpg
"A brown Opisthoteuthis cf. californiana rests on a rocky seafloor, surrounded by patches of soft mud.",src/data/Fathomnet-by-Phylum-2/train/images/0d6d3ac3-ce5f-4cf1-a577-9b2ac77aa6dd_png.rf.7355f23b3dacc5cc256e21ba97933ef9.jpg
"A brown Opisthoteuthis cf. californiana rests on a rocky seafloor, surrounded by patches of soft mud.",src/data/Fathomnet-by-Phylum-2/train/images/0d6d3ac3-ce5f-4cf1-a577-9b2ac77aa6dd_png.rf.a80aa56fb76a62f868960eed8a534f66.jpg
"On a rocky seafloor, a Pannychia with elongated, translucent tentacles extends above the dark substrate, surrounded by small red starfish.",src/data/Fathomnet-by-Phylum-2/train/images/0e344f98-b318-4d4b-951d-fe560e85fbb9_png.rf.b2f552567c9385816bcea0cf653c067a.jpg
"On a rocky seafloor, a Pannychia with elongated, translucent tentacles extends above the dark substrate, surrounded by small red starfish.",src/data/Fathomnet-by-Phylum-2/train/images/0e344f98-b318-4d4b-951d-fe560e85fbb9_png.rf.0c47e5cd634d6bd484eaf7907a2f4b12.jpg
"On a rocky seafloor, a Pannychia with elongated, translucent tentacles extends above the dark substrate, surrounded by small red starfish.",src/data/Fathomnet-by-Phylum-2/train/images/0e344f98-b318-4d4b-951d-fe560e85fbb9_png.rf.1a17e633098bf8233c4dbd6b5823ee24.jpg
"Translucent Pteraster rests on a rocky seafloor, surrounded by dark, textured stones and patches of silt.",src/data/Fathomnet-by-Phylum-2/train/images/0e6ef718-a560-4e33-948a-9e37c909a67c_png.rf.d1c7ef1f84e1a2ce5d122f260b2dfd34.jpg
"Translucent Pteraster rests on a rocky seafloor, surrounded by dark, textured stones and patches of silt.",src/data/Fathomnet-by-Phylum-2/train/images/0e6ef718-a560-4e33-948a-9e37c909a67c_png.rf.a0a2b974eb8d9651e834297ce76df77d.jpg
"Translucent Pteraster rests on a rocky seafloor, surrounded by dark, textured stones and patches of silt.",src/data/Fathomnet-by-Phylum-2/train/images/0e6ef718-a560-4e33-948a-9e37c909a67c_png.rf.7b9619110ad1650beb965b147086ac78.jpg
"Paragorgia arborea exhibits a vibrant pink color, branching structure, and is situated on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/0e959176-7522-417a-92b3-00571c073b13_png.rf.b86ceca07e112595b0cd843161bebb05.jpg
"Paragorgia arborea exhibits a vibrant pink color, branching structure, and is situated on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/0e959176-7522-417a-92b3-00571c073b13_png.rf.32e6a67cf047e492fbb3c1526478c6b1.jpg
"Paragorgia arborea exhibits a vibrant pink color, branching structure, and is situated on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/0e959176-7522-417a-92b3-00571c073b13_png.rf.ff4ccd14148b10334d888b1cbaea4bd6.jpg
"A cluster of white, branching Zoantharia extends from a rocky substrate, surrounded by dark silt and hints of marine life.",src/data/Fathomnet-by-Phylum-2/train/images/127683e5-b4af-4f77-a031-5c57b9bd06c8_png.rf.a5abb75b59106893578900fbffca9590.jpg
"A cluster of white, branching Zoantharia extends from a rocky substrate, surrounded by dark silt and hints of marine life.",src/data/Fathomnet-by-Phylum-2/train/images/127683e5-b4af-4f77-a031-5c57b9bd06c8_png.rf.49fde1fd30828cc9a07e073f4a737536.jpg
"A cluster of white, branching Zoantharia extends from a rocky substrate, surrounded by dark silt and hints of marine life.",src/data/Fathomnet-by-Phylum-2/train/images/127683e5-b4af-4f77-a031-5c57b9bd06c8_png.rf.edfcc90b69b4d128fdfd60159262aa03.jpg
"On a rugged basalt rock, a single Asellota is observed, blending into the textured surface amidst fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/12aaac9b-28bc-40a0-aa29-b3627c84711e_png.rf.d2b95210114b7c76232366a18b10328e.jpg
"On a rugged basalt rock, a single Asellota is observed, blending into the textured surface amidst fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/12aaac9b-28bc-40a0-aa29-b3627c84711e_png.rf.33e6a6e6fd9dd48adbc465602e7617cb.jpg
"On a rugged basalt rock, a single Asellota is observed, blending into the textured surface amidst fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/12aaac9b-28bc-40a0-aa29-b3627c84711e_png.rf.0981e6f0b2eacb1108872aa0ab0ef238.jpg
"On a rugged rock substrate, a Bathyraja spinosissima displays its flat, pale body, blending with the dark textures of the seafloor.",src/data/Fathomnet-by-Phylum-2/train/images/12dcc67f-27a3-4b54-af0e-6a6ee0554993_png.rf.5abd4fe60afa29d6b21aff338e003388.jpg
"On a rugged rock substrate, a Bathyraja spinosissima displays its flat, pale body, blending with the dark textures of the seafloor.",src/data/Fathomnet-by-Phylum-2/train/images/12dcc67f-27a3-4b54-af0e-6a6ee0554993_png.rf.c6a62355e39915a7e61f159f5b5662d3.jpg
"On a rugged rock substrate, a Bathyraja spinosissima displays its flat, pale body, blending with the dark textures of the seafloor.",src/data/Fathomnet-by-Phylum-2/train/images/12dcc67f-27a3-4b54-af0e-6a6ee0554993_png.rf.dbfad36b5c614e16cefb1a310718c27e.jpg
"On a rugged basalt rock, a single Pteraster displays its star-shaped body, blending with the textured surface beneath.",src/data/Fathomnet-by-Phylum-2/train/images/13341ec2-e241-48b4-bd6a-3fdd864dcbc7_png.rf.760e69036a3115f74530f2414ec791b5.jpg
"On a rugged basalt rock, a single Pteraster displays its star-shaped body, blending with the textured surface beneath.",src/data/Fathomnet-by-Phylum-2/train/images/13341ec2-e241-48b4-bd6a-3fdd864dcbc7_png.rf.866aa1a8ae0894b8a01395faf8281ff6.jpg
"On a rugged basalt rock, a single Pteraster displays its star-shaped body, blending with the textured surface beneath.",src/data/Fathomnet-by-Phylum-2/train/images/13341ec2-e241-48b4-bd6a-3fdd864dcbc7_png.rf.c7df3c29fed670a78d5648fba114d1c8.jpg
"A pale Bathyraja microtrachys glides over a sandy substrate, surrounded by rugged, textured rocks.",src/data/Fathomnet-by-Phylum-2/train/images/13d5bd81-e946-43a2-a5f3-fd1d0a239f38_png.rf.8cf4d1a91133cef54b4272ea19f05b8f.jpg
"A pale Bathyraja microtrachys glides over a sandy substrate, surrounded by rugged, textured rocks.",src/data/Fathomnet-by-Phylum-2/train/images/13d5bd81-e946-43a2-a5f3-fd1d0a239f38_png.rf.0b73a045e68667a67028e0f0ec19b8c1.jpg
"A pale Bathyraja microtrachys glides over a sandy substrate, surrounded by rugged, textured rocks.",src/data/Fathomnet-by-Phylum-2/train/images/13d5bd81-e946-43a2-a5f3-fd1d0a239f38_png.rf.73af4e370218b6c5c6ca78bf137c954f.jpg
"A translucent Hyalonema floats above a rocky seafloor, while a Synallactes rests on the textured substrate.",src/data/Fathomnet-by-Phylum-2/train/images/13ef4af0-5308-48c8-8ab8-939fa705e2ff_png.rf.c0ea8eb44ceab4e276a6984647587a77.jpg
"A translucent Hyalonema floats above a rocky seafloor, while a Synallactes rests on the textured substrate.",src/data/Fathomnet-by-Phylum-2/train/images/13ef4af0-5308-48c8-8ab8-939fa705e2ff_png.rf.fe993b26e12e8068b28677d9a777638b.jpg
"A translucent Hyalonema floats above a rocky seafloor, while a Synallactes rests on the textured substrate.",src/data/Fathomnet-by-Phylum-2/train/images/13ef4af0-5308-48c8-8ab8-939fa705e2ff_png.rf.6f69787de893160f9430d8dcad9c4673.jpg
"On a rugged basalt rock, a Bathyraja spinosissima glides with a flattened, pale body and prominent eyes, blending into the dark substrate.",src/data/Fathomnet-by-Phylum-2/train/images/150f24a0-aa88-468e-9415-f1e8ea6c7f8d_png.rf.f61cc66492e1a8c869923cd38202dc1b.jpg
"On a rugged basalt rock, a Bathyraja spinosissima glides with a flattened, pale body and prominent eyes, blending into the dark substrate.",src/data/Fathomnet-by-Phylum-2/train/images/150f24a0-aa88-468e-9415-f1e8ea6c7f8d_png.rf.1ceeb2a4613c3ceb166c7bae17d4aa22.jpg
"On a rugged basalt rock, a Bathyraja spinosissima glides with a flattened, pale body and prominent eyes, blending into the dark substrate.",src/data/Fathomnet-by-Phylum-2/train/images/150f24a0-aa88-468e-9415-f1e8ea6c7f8d_png.rf.1e4048ebaef35118f903b57bdc21ad4e.jpg
"Textured black rock formations cover the seafloor, surrounded by fine silt, with a single Pannychia partially visible among the geological features.",src/data/Fathomnet-by-Phylum-2/train/images/161f160c-74a2-4e37-8602-dce75c29d120_png.rf.c201a99cdff9c7319f3fcc0d5d8c1c3a.jpg
"Textured black rock formations cover the seafloor, surrounded by fine silt, with a single Pannychia partially visible among the geological features.",src/data/Fathomnet-by-Phylum-2/train/images/161f160c-74a2-4e37-8602-dce75c29d120_png.rf.a3e638baef6251f0da14109e580fb620.jpg
"Textured black rock formations cover the seafloor, surrounded by fine silt, with a single Pannychia partially visible among the geological features.",src/data/Fathomnet-by-Phylum-2/train/images/161f160c-74a2-4e37-8602-dce75c29d120_png.rf.92bcce5ed12955187cbbe33d9367ea07.jpg
"Hymenaster exhibits a pale blue coloration against a backdrop of dark, textured rock and soft silt on the seafloor.",src/data/Fathomnet-by-Phylum-2/train/images/17dca085-0aa8-47c3-be60-b66c844d5778_png.rf.ecb07aafffbe337747eb6b5368f9c929.jpg
"Hymenaster exhibits a pale blue coloration against a backdrop of dark, textured rock and soft silt on the seafloor.",src/data/Fathomnet-by-Phylum-2/train/images/17dca085-0aa8-47c3-be60-b66c844d5778_png.rf.c31628072b581558f00d45ed47fe904b.jpg
"Hymenaster exhibits a pale blue coloration against a backdrop of dark, textured rock and soft silt on the seafloor.",src/data/Fathomnet-by-Phylum-2/train/images/17dca085-0aa8-47c3-be60-b66c844d5778_png.rf.5b1952ed7ec703250bded6a8f5d1e66a.jpg
"Synallactes exhibit a pink, elongated body on a rocky seafloor, surrounded by small, pale echinoderms and fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/17e0206a-a723-4a6f-8acd-4ab529d08b51_png.rf.e37f9d6eb9029092708fcc7486fa2411.jpg
"Synallactes exhibit a pink, elongated body on a rocky seafloor, surrounded by small, pale echinoderms and fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/17e0206a-a723-4a6f-8acd-4ab529d08b51_png.rf.683aa10c6168f6894760282a154dd3e1.jpg
"Synallactes exhibit a pink, elongated body on a rocky seafloor, surrounded by small, pale echinoderms and fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/17e0206a-a723-4a6f-8acd-4ab529d08b51_png.rf.679bb14f483a0705142af903ba2e9cb6.jpg
"On a rugged basalt rock, a Synallactes displays its elongated body and smooth, pale skin against the dark, textured substrate.",src/data/Fathomnet-by-Phylum-2/train/images/18e1c8a3-6569-4b6a-a176-918214424ad7_png.rf.f4076b6c102d68d8b0655ab180904017.jpg
"On a rugged basalt rock, a Synallactes displays its elongated body and smooth, pale skin against the dark, textured substrate.",src/data/Fathomnet-by-Phylum-2/train/images/18e1c8a3-6569-4b6a-a176-918214424ad7_png.rf.49e0d23e4595dddc42cb10c03050ee01.jpg
"On a rugged basalt rock, a Synallactes displays its elongated body and smooth, pale skin against the dark, textured substrate.",src/data/Fathomnet-by-Phylum-2/train/images/18e1c8a3-6569-4b6a-a176-918214424ad7_png.rf.6b87ad4c84543bf10b38cd5b263a716d.jpg
"Bathyraja spinosissima glides over a sandy substrate, displaying a flattened body and smooth, grayish skin.",src/data/Fathomnet-by-Phylum-2/train/images/19b1a75c-511c-413e-85cc-65c7957af717_png.rf.50204594211f5e9792fefc13a11c6d4b.jpg
"Bathyraja spinosissima glides over a sandy substrate, displaying a flattened body and smooth, grayish skin.",src/data/Fathomnet-by-Phylum-2/train/images/19b1a75c-511c-413e-85cc-65c7957af717_png.rf.64ce9836adb023541fc44074c551fe69.jpg
"Bathyraja spinosissima glides over a sandy substrate, displaying a flattened body and smooth, grayish skin.",src/data/Fathomnet-by-Phylum-2/train/images/19b1a75c-511c-413e-85cc-65c7957af717_png.rf.0a0ec118da0e373dc5541c2f55580bdc.jpg
"Pannychia moseleyi exhibits a translucent, elongated body with feathery appendages, resting on a substrate of silt and rock.",src/data/Fathomnet-by-Phylum-2/train/images/1a04e0ce-32b1-4f9b-84a2-74d439287f3c_png.rf.a2b9671d85ca70d99930273497ef33be.jpg
"Pannychia moseleyi exhibits a translucent, elongated body with feathery appendages, resting on a substrate of silt and rock.",src/data/Fathomnet-by-Phylum-2/train/images/1a04e0ce-32b1-4f9b-84a2-74d439287f3c_png.rf.d86a89af879a430ebd119f5b1f4df64f.jpg
"Pannychia moseleyi exhibits a translucent, elongated body with feathery appendages, resting on a substrate of silt and rock.",src/data/Fathomnet-by-Phylum-2/train/images/1a04e0ce-32b1-4f9b-84a2-74d439287f3c_png.rf.851ce2127b54f6c187038c8d2c8fc026.jpg
"On a rugged basalt rock, a Pteraster starfish rests, showcasing its textured surface against the dark seafloor backdrop.",src/data/Fathomnet-by-Phylum-2/train/images/1a19cab1-342d-4a40-b1e2-f62e71c72b83_png.rf.c26840ff0644748654f230955de37bea.jpg
"On a rugged basalt rock, a Pteraster starfish rests, showcasing its textured surface against the dark seafloor backdrop.",src/data/Fathomnet-by-Phylum-2/train/images/1a19cab1-342d-4a40-b1e2-f62e71c72b83_png.rf.5f97036644bb402accab57abb2fcc4b8.jpg
"On a rugged basalt rock, a Pteraster starfish rests, showcasing its textured surface against the dark seafloor backdrop.",src/data/Fathomnet-by-Phylum-2/train/images/1a19cab1-342d-4a40-b1e2-f62e71c72b83_png.rf.1849cf58bc7cad4f719a27103654984d.jpg
"A dark-colored Antimora microlepis with prominent blue eyes swims above a rocky seafloor, showcasing its elongated body and whisker-like barbels.",src/data/Fathomnet-by-Phylum-2/train/images/1a3a8b2c-9f0c-4757-9ebb-2a9dc2c381a2_png.rf.93c3f7417736d62601d470208d9918bb.jpg
"A dark-colored Antimora microlepis with prominent blue eyes swims above a rocky seafloor, showcasing its elongated body and whisker-like barbels.",src/data/Fathomnet-by-Phylum-2/train/images/1a3a8b2c-9f0c-4757-9ebb-2a9dc2c381a2_png.rf.88309aca561c3777d4a6937130352450.jpg
"A dark-colored Antimora microlepis with prominent blue eyes swims above a rocky seafloor, showcasing its elongated body and whisker-like barbels.",src/data/Fathomnet-by-Phylum-2/train/images/1a3a8b2c-9f0c-4757-9ebb-2a9dc2c381a2_png.rf.6bf9ce1d2a1435cc5b99eab132f3ef6c.jpg
"A pink Pteraster starfish rests on a rocky seafloor, showcasing its textured arms against the dark substrate.",src/data/Fathomnet-by-Phylum-2/train/images/1ba6b4bd-f70c-4d88-822f-0edf2050fe5b_png.rf.c26e3c1b3143778397c5f66a26a7e6c2.jpg
"A pink Pteraster starfish rests on a rocky seafloor, showcasing its textured arms against the dark substrate.",src/data/Fathomnet-by-Phylum-2/train/images/1ba6b4bd-f70c-4d88-822f-0edf2050fe5b_png.rf.9dcc23a11dd3593206d120ef683db940.jpg
"A pink Pteraster starfish rests on a rocky seafloor, showcasing its textured arms against the dark substrate.",src/data/Fathomnet-by-Phylum-2/train/images/1ba6b4bd-f70c-4d88-822f-0edf2050fe5b_png.rf.3e8fc3e0ce348ec61d5fbd27bdd8f876.jpg
"A Coryphaenoides swims over a textured rock substrate, surrounded by dark water and faint light.",src/data/Fathomnet-by-Phylum-2/train/images/1c628f9e-65a7-4df2-88e8-be6ec37875ae_png.rf.8b94f33050edbeffcb4509e34ea042d1.jpg
"A Coryphaenoides swims over a textured rock substrate, surrounded by dark water and faint light.",src/data/Fathomnet-by-Phylum-2/train/images/1c628f9e-65a7-4df2-88e8-be6ec37875ae_png.rf.0e93e77abde54c0bfdbbc293f81c4269.jpg
"A Coryphaenoides swims over a textured rock substrate, surrounded by dark water and faint light.",src/data/Fathomnet-by-Phylum-2/train/images/1c628f9e-65a7-4df2-88e8-be6ec37875ae_png.rf.995621b245b585d3f243ae118a8069b0.jpg
"On a rugged basalt rock, a Pannychia moseleyi displays its elongated, pale body amidst the dark, textured substrate.",src/data/Fathomnet-by-Phylum-2/train/images/1c742e9e-3445-46d6-9c6a-ad6949846fd1_png.rf.49981e4ee6a8941a2be986bafcf85e18.jpg
"On a rugged basalt rock, a Pannychia moseleyi displays its elongated, pale body amidst the dark, textured substrate.",src/data/Fathomnet-by-Phylum-2/train/images/1c742e9e-3445-46d6-9c6a-ad6949846fd1_png.rf.51d362ffeba603fb23b87c7c0be9c39d.jpg
"On a rugged basalt rock, a Pannychia moseleyi displays its elongated, pale body amidst the dark, textured substrate.",src/data/Fathomnet-by-Phylum-2/train/images/1c742e9e-3445-46d6-9c6a-ad6949846fd1_png.rf.8f94f53baef6af3a394ab24381429ae4.jpg
"On a rugged basalt rock, two Synallactes exhibit elongated bodies with a smooth texture, blending into the dark seafloor environment.",src/data/Fathomnet-by-Phylum-2/train/images/1c8a72dd-2e3f-4f1f-b687-790d589a9dc0_png.rf.c2ad19d296c209293308d880fcfd7067.jpg
"On a rugged basalt rock, two Synallactes exhibit elongated bodies with a smooth texture, blending into the dark seafloor environment.",src/data/Fathomnet-by-Phylum-2/train/images/1c8a72dd-2e3f-4f1f-b687-790d589a9dc0_png.rf.79d74356d32ea99dbef9d36be76e7edc.jpg
"On a rugged basalt rock, two Synallactes exhibit elongated bodies with a smooth texture, blending into the dark seafloor environment.",src/data/Fathomnet-by-Phylum-2/train/images/1c8a72dd-2e3f-4f1f-b687-790d589a9dc0_png.rf.88e1beeb3bbcbd5c9864cc2f5e8effdc.jpg
"Textured, dark substrate covered with fine silt, featuring a solitary Pannychia, blending into the surrounding environment.",src/data/Fathomnet-by-Phylum-2/train/images/1d66350e-5479-44b3-96c4-7d8ed33e6639_png.rf.ca9ec76f205df8d9fbdf8b4c20496ec9.jpg
"Textured, dark substrate covered with fine silt, featuring a solitary Pannychia, blending into the surrounding environment.",src/data/Fathomnet-by-Phylum-2/train/images/1d66350e-5479-44b3-96c4-7d8ed33e6639_png.rf.de317e1bd7956e2f71135a77f4072f00.jpg
"Textured, dark substrate covered with fine silt, featuring a solitary Pannychia, blending into the surrounding environment.",src/data/Fathomnet-by-Phylum-2/train/images/1d66350e-5479-44b3-96c4-7d8ed33e6639_png.rf.d1399698eea89ac666904be89bf9e751.jpg
"Cystechinus giganteus exhibits a spiny texture, resting on a rocky substrate amidst a backdrop of dark silt.",src/data/Fathomnet-by-Phylum-2/train/images/1e6902f6-6cc8-448a-b716-5201402c243c_png.rf.0a8874495498f25f2ae15fb44d44b33e.jpg
